listing_date,company_name,ticker,market_division,public_price
"2024/12/27",（株）ビースタイルホールディングス,302A.T,グロース,"2,070"
"2024/12/26",ＧＶＡ　ＴＥＣＨ（株）,298A.T,グロース,690
"2024/12/26",（株）ｖｉｓｕｍｏ,303A.T,グロース,770
"2024/12/26",フォルシア（株）,304A.T,グロース,"1,750"
"2024/12/25",アルピコホールディングス（株）,297A.T,スタンダード,191
"2024/12/25",MIC（株）,300A.T,スタンダード,960
"2024/12/23",令和アカウンティング・ホールディングス（株）,296A.T,グロース,360
"2024/12/19",（株）Synspective,290A.T,グロース,480
"2024/12/19",dely（株）,299A.T,グロース,"1,200"
"2024/12/18",キオクシアホールディングス（株）（※）,285A.T,プライム,"1,455"
"2024/12/17",黒田グループ（株）,287A.T,スタンダード,700
"2024/12/17",（株）リスキル,291A.T,グロース,"3,730"
"2024/12/13",ラクサス・テクノロジーズ（株）,288A.T,グロース,281
"2024/12/12",（株）ユカリア,286A.T,グロース,"1,060"
"2024/12/11",（株）ＱＬＳホールディングス,7075.T,グロース,835
"2024/12/09",インフォメティス（株）,281A.T,グロース,"1,080"
"2024/12/04",（株）ＴＭＨ,280A.T,グロース,"1,500"
"2024/11/29",グロービング（株）,277A.T,グロース,"4,530"
"2024/11/29",Terra Drone（株）,278A.T,グロース,"2,350"
"2024/11/28",ククレブ・アドバイザーズ（株）,276A.T,グロース,950
"2024/11/22",（株）ガーデン,274A.T,スタンダード,"3,200"
"2024/10/29",（株）Sapeet,269A.T,グロース,"1,500"
"2024/10/28",Ｈｍｃｏｍｍ（株）,265A.T,グロース,850
"2024/10/25",リガク・ホールディングス（株）,268A.T,プライム,"1,260"
"2024/10/23",東京地下鉄（株）,9023.T,プライム,"1,200"
"2024/10/22",（株）Ｓｃｈｏｏ,264A.T,グロース,690
"2024/10/18",（株）インターメスティック,262A.T,プライム,"1,630"
"2024/10/16",（株）日水コン,261A.T,スタンダード,"1,430"
"2024/10/11",（株）オルツ,260A.T,グロース,540
"2024/10/01",シマダヤ（株）,250A.T,スタンダード,"1,880"
"2024/09/27",Aiロボティクス（株）,247A.T,グロース,"1,760"
"2024/09/26",グロースエクスパートナーズ（株）,244A.T,グロース,"1,530"
"2024/09/26",（株）ＩＮＧＳ,245A.T,グロース,"1,940"
"2024/09/26",（株）アスア,246A.T,グロース,680
"2024/09/26",（株）キッズスター,248A.T,グロース,"2,560"
"2024/09/25",（株）ROXX,241A.T,グロース,"2,110"
"2024/08/21",（株）オプロ,228A.T,グロース,"1,300"
"2024/07/31",（株）Faber Company,220A.T,スタンダード,"1,000"
"2024/07/30",Ｈｅａｒｔｓｅｅｄ（株）,219A.T,グロース,"1,160"
"2024/07/29",（株）Liberaware,218A.T,グロース,310
"2024/07/26",（株）タイミー,215A.T,グロース,"1,450"
"2024/07/23",フィットイージー（株）,212A.T,スタンダード,990
"2024/07/18",（株）カドス・コーポレーション,211A.T,スタンダード,"2,900"
"2024/07/02",（株）PRISM BioLab,206A.T,グロース,450
